"Mod name","Registry name","Item ID","Display name","Exists"
"AE2 Extras","ae2extras:16m_crafting_storage","ae2extras:16m_crafting_storage","16m Crafting Storage","true"
"AE2 Extras","ae2extras:1m_crafting_storage","ae2extras:1m_crafting_storage","1m Crafting Storage","true"
"AE2 Extras","ae2extras:256k_crafting_storage","ae2extras:256k_crafting_storage","256k Crafting Storage","true"
"AE2 Extras","ae2extras:4m_crafting_storage","ae2extras:4m_crafting_storage","4m Crafting Storage","true"
"Alex's Mobs","alexsmobs:banana_peel","alexsmobs:banana_peel","Banana Peel","true"
"Alex's Mobs","alexsmobs:capsid","alexsmobs:capsid","Capsid","true"
"Alex's Mobs","alexsmobs:crocodile_egg","alexsmobs:crocodile_egg","Crocodile Egg","true"
"Alex's Mobs","alexsmobs:gustmaker","alexsmobs:gustmaker","Gustmaker","true"
"Alex's Mobs","alexsmobs:leafcutter_ant_chamber","alexsmobs:leafcutter_ant_chamber","Leafcutter Ant Chamber","true"
"Alex's Mobs","alexsmobs:leafcutter_anthill","alexsmobs:leafcutter_anthill","Leafcutter Anthill","true"
"AllTheOres","alltheores:aluminum_block","alltheores:aluminum_block","Aluminum Block","true"
"AllTheOres","alltheores:copper_block","alltheores:copper_block","Copper Block","true"
"AllTheOres","alltheores:lead_block","alltheores:lead_block","Lead Block","true"
"AllTheOres","alltheores:molten_aluminum_block","","block.alltheores.molten_aluminum_block","true"
"AllTheOres","alltheores:molten_copper_block","","block.alltheores.molten_copper_block","true"
"AllTheOres","alltheores:molten_lead_block","","block.alltheores.molten_lead_block","true"
"AllTheOres","alltheores:molten_nickel_block","","block.alltheores.molten_nickel_block","true"
"AllTheOres","alltheores:molten_osmium_block","","block.alltheores.molten_osmium_block","true"
"AllTheOres","alltheores:molten_platinum_block","","block.alltheores.molten_platinum_block","true"
"AllTheOres","alltheores:molten_silver_block","","block.alltheores.molten_silver_block","true"
"AllTheOres","alltheores:molten_tin_block","","block.alltheores.molten_tin_block","true"
"AllTheOres","alltheores:molten_uranium_block","","block.alltheores.molten_uranium_block","true"
"AllTheOres","alltheores:molten_zinc_block","","block.alltheores.molten_zinc_block","true"
"AllTheOres","alltheores:nickel_block","alltheores:nickel_block","Nickel Block","true"
"AllTheOres","alltheores:ore_aluminum","alltheores:ore_aluminum","Aluminum Ore","true"
"AllTheOres","alltheores:ore_copper","alltheores:ore_copper","Copper Ore","true"
"AllTheOres","alltheores:ore_lead","alltheores:ore_lead","Lead Ore","true"
"AllTheOres","alltheores:ore_nickel","alltheores:ore_nickel","Nickel Ore","true"
"AllTheOres","alltheores:ore_osmium","alltheores:ore_osmium","Osmium Ore","true"
"AllTheOres","alltheores:ore_other_aluminum","alltheores:ore_other_aluminum","Other Aluminum Ore","true"
"AllTheOres","alltheores:ore_other_coal","alltheores:ore_other_coal","Other Coal Ore","true"
"AllTheOres","alltheores:ore_other_copper","alltheores:ore_other_copper","Other Copper Ore","true"
"AllTheOres","alltheores:ore_other_diamond","alltheores:ore_other_diamond","Other Diamond Ore","true"
"AllTheOres","alltheores:ore_other_iron","alltheores:ore_other_iron","Other Iron Ore","true"
"AllTheOres","alltheores:ore_other_lapis","alltheores:ore_other_lapis","Other Lapis Ore","true"
"AllTheOres","alltheores:ore_other_lead","alltheores:ore_other_lead","Other Lead Ore","true"
"AllTheOres","alltheores:ore_other_nickel","alltheores:ore_other_nickel","Other Nickel Ore","true"
"AllTheOres","alltheores:ore_other_osmium","alltheores:ore_other_osmium","Other Osmium Ore","true"
"AllTheOres","alltheores:ore_other_platinum","alltheores:ore_other_platinum","Other Platinum Ore","true"
"AllTheOres","alltheores:ore_other_redstone","alltheores:ore_other_redstone","Other Redstone Ore","true"
"AllTheOres","alltheores:ore_other_silver","alltheores:ore_other_silver","Other Silver Ore","true"
"AllTheOres","alltheores:ore_other_tin","alltheores:ore_other_tin","Other Tin Ore","true"
"AllTheOres","alltheores:ore_other_uranium","alltheores:ore_other_uranium","Other Uranium Ore","true"
