"Mod name","Registry name","Item ID","Display name"
"AE2 Extras","ae2extras:16m_cell_component",4205,"16m ME Storage Component"
"AE2 Extras","ae2extras:16m_crafting_storage",4201,"16m Crafting Storage"
"AE2 Extras","ae2extras:16m_fluid_cell_component",4213,"16m ME Fluid Storage Component"
"AE2 Extras","ae2extras:16m_fluid_storage_cell",4217,"16m ME Fluid Storage Cell"
"AE2 Extras","ae2extras:16m_storage_cell",4209,"16m ME Storage Cell"
"AE2 Extras","ae2extras:1m_cell_component",4203,"1m ME Storage Component"
"AE2 Extras","ae2extras:1m_crafting_storage",4199,"1m Crafting Storage"
"AE2 Extras","ae2extras:1m_fluid_cell_component",4211,"1m ME Fluid Storage Component"
"AE2 Extras","ae2extras:1m_fluid_storage_cell",4215,"1m ME Fluid Storage Cell"
"AE2 Extras","ae2extras:1m_storage_cell",4207,"1m ME Storage Cell"
"AE2 Extras","ae2extras:256k_cell_component",4202,"256k ME Storage Component"
"AE2 Extras","ae2extras:256k_crafting_storage",4198,"256k Crafting Storage"
"AE2 Extras","ae2extras:256k_fluid_cell_component",4210,"256k ME Fluid Storage Component"
"AE2 Extras","ae2extras:256k_fluid_storage_cell",4214,"256k ME Fluid Storage Cell"
"AE2 Extras","ae2extras:256k_storage_cell",4206,"256k ME Storage Cell"
"AE2 Extras","ae2extras:4m_cell_component",4204,"4m ME Storage Component"
"AE2 Extras","ae2extras:4m_crafting_storage",4200,"4m Crafting Storage"
"AE2 Extras","ae2extras:4m_fluid_cell_component",4212,"4m ME Fluid Storage Component"
"AE2 Extras","ae2extras:4m_fluid_storage_cell",4216,"4m ME Fluid Storage Cell"
"AE2 Extras","ae2extras:4m_storage_cell",4208,"4m ME Storage Cell"
"Alex's Mobs","alexsmobs:acacia_blossom",1609,"Acacia Blossom"
"Alex's Mobs","alexsmobs:ambergris",1633,"Ambergris"
"Alex's Mobs","alexsmobs:animal_dictionary",1565,"Animal Dictionary"
"Alex's Mobs","alexsmobs:banana",1575,"Banana"
"Alex's Mobs","alexsmobs:banana_peel",1641,"Banana Peel"
"Alex's Mobs","alexsmobs:banner_pattern_australia_0",1648,"Banner Pattern"
"Alex's Mobs","alexsmobs:banner_pattern_australia_1",1649,"Banner Pattern"
"Alex's Mobs","alexsmobs:banner_pattern_bear",1647,"Banner Pattern"
"Alex's Mobs","alexsmobs:bear_fur",1566,"Hair of Bear"
"Alex's Mobs","alexsmobs:blobfish",1601,"Blobfish"
"Alex's Mobs","alexsmobs:blobfish_bucket",1602,"Bucket of Blobfish"
"Alex's Mobs","alexsmobs:blood_sac",1577,"Blood Sac"
"Alex's Mobs","alexsmobs:blood_sprayer",1579,"Blood Sprayer"
"Alex's Mobs","alexsmobs:boiled_emu_egg",1623,"Boiled Emu Egg"
"Alex's Mobs","alexsmobs:bone_serpent_tooth",1570,"Bone Serpent Tooth"
"Alex's Mobs","alexsmobs:cachalot_whale_tooth",1634,"Cachalot Whale Tooth"
"Alex's Mobs","alexsmobs:capsid",1646,"Capsid"
"Alex's Mobs","alexsmobs:centipede_leg",1591,"Cave Centipede Leg"
"Alex's Mobs","alexsmobs:centipede_leggings",1592,"Cave Centipede Leggings"
"Alex's Mobs","alexsmobs:chorus_on_a_stick",1581,"Chorus Fruit on a Stick"
"Alex's Mobs","alexsmobs:cockroach_ootheca",1608,"Cockroach Ootheca"
"Alex's Mobs","alexsmobs:cockroach_wing",1607,"Cockroach Wing"
"Alex's Mobs","alexsmobs:cockroach_wing_fragment",1606,"Cockroach Wing Fragment"
"Alex's Mobs","alexsmobs:cooked_kangaroo_meat",1630,"Cooked Kangaroo Meat"
"Alex's Mobs","alexsmobs:cooked_lobster_tail",1585,"Cooked Lobster Tail"
"Alex's Mobs","alexsmobs:cooked_moose_ribs",1597,"Cooked Moose Ribs"
"Alex's Mobs","alexsmobs:crocodile_chestplate",1573,"Crocodile Chestplate"
"Alex's Mobs","alexsmobs:crocodile_egg",1642,"Crocodile Egg"
"Alex's Mobs","alexsmobs:crocodile_scute",1572,"Crocodile Scute"
"Alex's Mobs","alexsmobs:dropbear_claw",1628,"Dropbear Claw"
"Alex's Mobs","alexsmobs:echolocator",1635,"Echolocator"
"Alex's Mobs","alexsmobs:emu_egg",1622,"Emu Egg"
"Alex's Mobs","alexsmobs:emu_feather",1624,"Emu Feather"
"Alex's Mobs","alexsmobs:emu_leggings",1625,"Outback Leggings"
"Alex's Mobs","alexsmobs:enderiophage_rocket",1639,"Enderiophage Rocket"
"Alex's Mobs","alexsmobs:endolocator",1636,"Endolocator"
"Alex's Mobs","alexsmobs:fedora",1627,"Fedora"
"Alex's Mobs","alexsmobs:fish_oil",1603,"Fish Oil"
"Alex's Mobs","alexsmobs:frontier_cap",1600,"Frontiersman's Cap"
"Alex's Mobs","alexsmobs:gazelle_horn",1571,"Gazelle Horn"
"Alex's Mobs","alexsmobs:gongylidia",1637,"Gongylidia"
"Alex's Mobs","alexsmobs:guster_eye",1613,"Guster Eye"
"Alex's Mobs","alexsmobs:gustmaker",1643,"Gustmaker"
"Alex's Mobs","alexsmobs:halo",1576,"Halo"
"Alex's Mobs","alexsmobs:hemolymph_blaster",1617,"Hemolymph Blaster"
"Alex's Mobs","alexsmobs:hemolymph_sac",1616,"Hemolymph Sac"
"Alex's Mobs","alexsmobs:kangaroo_burger",1632,"Kangaroo Burger"
"Alex's Mobs","alexsmobs:kangaroo_hide",1631,"Kangaroo Hide"
"Alex's Mobs","alexsmobs:kangaroo_meat",1629,"Kangaroo Meat"
"Alex's Mobs","alexsmobs:komodo_spit",1587,"Komodo Dragon Spit"
"Alex's Mobs","alexsmobs:komodo_spit_bottle",1588,"Komodo Dragon Spit Bottle"
"Alex's Mobs","alexsmobs:lava_bottle",1569,"Lava Bottle"
"Alex's Mobs","alexsmobs:leafcutter_ant_chamber",1645,"Leafcutter Ant Chamber"
"Alex's Mobs","alexsmobs:leafcutter_ant_pupa",1638,"Leafcutter Ant Pupa"
"Alex's Mobs","alexsmobs:leafcutter_anthill",1644,"Leafcutter Anthill"
"Alex's Mobs","alexsmobs:lobster_bucket",1586,"Bucket of Lobster"
"Alex's Mobs","alexsmobs:lobster_tail",1584,"Lobster Tail"
"Alex's Mobs","alexsmobs:maggot",1574,"Maggot"
"Alex's Mobs","alexsmobs:maraca",1604,"Maraca"
"Alex's Mobs","alexsmobs:mimicream",1598,"Mimicream"
"Alex's Mobs","alexsmobs:moose_antler",1594,"Moose Antler"
"Alex's Mobs","alexsmobs:moose_headgear",1595,"Antler Headdress"
"Alex's Mobs","alexsmobs:moose_ribs",1596,"Raw Moose Ribs"
"Alex's Mobs","alexsmobs:mosquito_larva",1593,"Crimson Mosquito Larva"
"Alex's Mobs","alexsmobs:mosquito_proboscis",1578,"Crimson Mosquito Proboscis"
"Alex's Mobs","alexsmobs:music_disc_thime",1640,"Music Disc"
"Alex's Mobs","alexsmobs:platypus_bucket",1626,"Bucket of Platypus"
"Alex's Mobs","alexsmobs:pocket_sand",1614,"Pocket of Sand"
"Alex's Mobs","alexsmobs:poison_bottle",1589,"Poisonous Essence"
"Alex's Mobs","alexsmobs:raccoon_tail",1599,"Raccoon Tail"
